datetime,nivel
2025-05-27 00:00:00,4.1292
2025-05-27 00:30:00,4.1129
2025-05-27 01:00:00,4.1343
2025-05-27 01:30:00,4.1365
2025-05-27 02:00:00,4.031
2025-05-27 02:30:00,3.9681
2025-05-27 03:00:00,3.8227
2025-05-27 03:30:00,3.6549
2025-05-27 04:00:00,3.4416
2025-05-27 04:30:00,3.2146
2025-05-27 05:00:00,3.015
2025-05-27 05:30:00,2.7935
2025-05-27 06:00:00,2.613
2025-05-27 06:30:00,2.4539
2025-05-27 07:00:00,2.3623
2025-05-27 07:30:00,2.2627
2025-05-27 08:00:00,2.2997
2025-05-27 08:30:00,2.3061
2025-05-27 09:00:00,2.4479
2025-05-27 09:30:00,2.5564
2025-05-27 10:00:00,2.7394
2025-05-27 10:30:00,2.918
2025-05-27 11:00:00,3.1424
2025-05-27 11:30:00,3.3274
2025-05-27 12:00:00,3.4914
2025-05-27 12:30:00,3.6596
2025-05-27 13:00:00,3.7621
2025-05-27 13:30:00,3.852
2025-05-27 14:00:00,3.8482
2025-05-27 14:30:00,3.8441
2025-05-27 15:00:00,3.7687
2025-05-27 15:30:00,3.6423
2025-05-27 16:00:00,3.4822
2025-05-27 16:30:00,3.3198
2025-05-27 17:00:00,3.1603
2025-05-27 17:30:00,2.9898
2025-05-27 18:00:00,2.8299
2025-05-27 18:30:00,2.6762
2025-05-27 19:00:00,2.6043
2025-05-27 19:30:00,2.5498
2025-05-27 20:00:00,2.5735
2025-05-27 20:30:00,2.5937
2025-05-27 21:00:00,2.6934
2025-05-27 21:30:00,2.8184
2025-05-27 22:00:00,2.9954
2025-05-27 22:30:00,3.175
2025-05-27 23:00:00,3.3805
2025-05-27 23:30:00,3.5704
2025-05-28 00:00:00,3.7423
2025-05-28 00:30:00,3.9013
2025-05-28 01:00:00,3.9953
2025-05-28 01:30:00,4.0907
2025-05-28 02:00:00,4.0567
2025-05-28 02:30:00,4.0615
2025-05-28 03:00:00,3.95
2025-05-28 03:30:00,3.8384
2025-05-28 04:00:00,3.6571
2025-05-28 04:30:00,3.4927
2025-05-28 05:00:00,3.2463
2025-05-28 05:30:00,3.0503
2025-05-28 06:00:00,2.8196
2025-05-28 06:30:00,2.637
2025-05-28 07:00:00,2.51
2025-05-28 07:30:00,2.3821
2025-05-28 08:00:00,2.3464
2025-05-28 08:30:00,2.3103
2025-05-28 09:00:00,2.3613
2025-05-28 09:30:00,2.4247
2025-05-28 10:00:00,2.588
2025-05-28 10:30:00,2.7228
2025-05-28 11:00:00,2.9006
2025-05-28 11:30:00,3.0932
2025-05-28 12:00:00,3.2809
2025-05-28 12:30:00,3.483
2025-05-28 13:00:00,3.6116
2025-05-28 13:30:00,3.7511
2025-05-28 14:00:00,3.7865
2025-05-28 14:30:00,3.8424
2025-05-28 15:00:00,3.8032
2025-05-28 15:30:00,3.7473
2025-05-28 16:00:00,3.6333
2025-05-28 16:30:00,3.4967
2025-05-28 17:00:00,3.3342
2025-05-28 17:30:00,3.1679
2025-05-28 18:00:00,2.9956
2025-05-28 18:30:00,2.8532
2025-05-28 19:00:00,2.728
2025-05-28 19:30:00,2.62
2025-05-28 20:00:00,2.5928
2025-05-28 20:30:00,2.5596
2025-05-28 21:00:00,2.6213
2025-05-28 21:30:00,2.6713
2025-05-28 22:00:00,2.8049
2025-05-28 22:30:00,2.9467
2025-05-28 23:00:00,3.1093
2025-05-28 23:30:00,3.2942
2025-05-29 00:00:00,3.4759
2025-05-29 00:30:00,3.6599
2025-05-29 01:00:00,3.8088
2025-05-29 01:30:00,3.9251
2025-05-29 02:00:00,3.9807
2025-05-29 02:30:00,4.0501
2025-05-29 03:00:00,3.9824
2025-05-29 03:30:00,3.9478
2025-05-29 04:00:00,3.793
2025-05-29 04:30:00,3.6669
2025-05-29 05:00:00,3.4679
2025-05-29 05:30:00,3.285
2025-05-29 06:00:00,3.0988
2025-05-29 06:30:00,2.8677
2025-05-29 07:00:00,2.7306
2025-05-29 07:30:00,2.5652
2025-05-29 08:00:00,2.4673
2025-05-29 08:30:00,2.3692
2025-05-29 09:00:00,2.3934
2025-05-29 09:30:00,2.3922
2025-05-29 10:00:00,2.4968
2025-05-29 10:30:00,2.5896
2025-05-29 11:00:00,2.7668
2025-05-29 11:30:00,2.9029
2025-05-29 12:00:00,3.073
2025-05-29 12:30:00,3.267
2025-05-29 13:00:00,3.4226
2025-05-29 13:30:00,3.5915
2025-05-29 14:00:00,3.6778
2025-05-29 14:30:00,3.7647
2025-05-29 15:00:00,3.7868
2025-05-29 15:30:00,3.7637
2025-05-29 16:00:00,3.6962
2025-05-29 16:30:00,3.6186
2025-05-29 17:00:00,3.4904
2025-05-29 17:30:00,3.3439
2025-05-29 18:00:00,3.2107
2025-05-29 18:30:00,3.0431
2025-05-29 19:00:00,2.8915
2025-05-29 19:30:00,2.7603
2025-05-29 20:00:00,2.6978
