Serial_number:;;;;
2100000;;;;
Project ID:;;;;
PM-EX-02;;;;
Location:;;;;
AREA-COSTEIRA-02;;;;
LEVEL;;;;
UNIT: m;;;;
Offset: 0,000000 m;;;;
TEMPERATURE;;;;
UNIT: C;;;;
Date;Time;ms;LEVEL;TEMPERATURE
27/05/2025;00:00:00;0;4,4236;25,00
27/05/2025;00:30:00;0;4,4279;26,12
27/05/2025;01:00:00;0;4,4151;26,40
27/05/2025;01:30:00;0;4,4118;26,23
27/05/2025;02:00:00;0;4,4008;26,71
27/05/2025;02:30:00;0;4,4304;26,64
27/05/2025;03:00:00;0;4,4207;27,01
27/05/2025;03:30:00;0;4,4225;27,23
27/05/2025;04:00:00;0;4,4125;26,94
27/05/2025;04:30:00;0;4,4325;27,31
27/05/2025;05:00:00;0;4,3936;27,66
27/05/2025;05:30:00;0;4,3469;27,62
27/05/2025;06:00:00;0;4,2598;27,77
27/05/2025;06:30:00;0;4,1790;27,73
27/05/2025;07:00:00;0;4,0641;27,43
27/05/2025;07:30:00;0;3,9619;26,89
27/05/2025;08:00:00;0;3,8432;27,25
27/05/2025;08:30:00;0;3,7430;27,21
27/05/2025;09:00:00;0;3,6460;27,04
27/05/2025;09:30:00;0;3,5585;26,43
27/05/2025;10:00:00;0;3,5348;26,64
27/05/2025;10:30:00;0;3,4695;26,04
27/05/2025;11:00:00;0;3,4724;26,20
27/05/2025;11:30:00;0;3,5030;26,32
27/05/2025;12:00:00;0;3,5395;25,23
27/05/2025;12:30:00;0;3,6238;25,16
27/05/2025;13:00:00;0;3,7249;25,07
27/05/2025;13:30:00;0;3,8097;25,21
27/05/2025;14:00:00;0;3,9116;25,59
27/05/2025;14:30:00;0;3,9935;24,56
27/05/2025;15:00:00;0;4,1047;24,27
27/05/2025;15:30:00;0;4,1882;24,03
27/05/2025;16:00:00;0;4,2193;23,39
27/05/2025;16:30:00;0;4,2969;23,84
27/05/2025;17:00:00;0;4,2633;23,81
27/05/2025;17:30:00;0;4,2565;24,13
27/05/2025;18:00:00;0;4,2063;23,08
27/05/2025;18:30:00;0;4,1758;23,70
27/05/2025;19:00:00;0;4,0980;23,83
27/05/2025;19:30:00;0;4,0181;23,47
27/05/2025;20:00:00;0;3,9204;24,32
27/05/2025;20:30:00;0;3,8256;24,13
27/05/2025;21:00:00;0;3,7683;24,41
27/05/2025;21:30:00;0;3,6771;24,36
27/05/2025;22:00:00;0;3,6372;24,50
27/05/2025;22:30:00;0;3,6265;24,33
27/05/2025;23:00:00;0;3,6257;25,25
27/05/2025;23:30:00;0;3,6401;25,58
28/05/2025;00:00:00;0;3,6998;25,68
28/05/2025;00:30:00;0;3,7459;25,49
28/05/2025;01:00:00;0;3,8370;25,77
28/05/2025;01:30:00;0;3,9395;25,81
28/05/2025;02:00:00;0;4,0275;26,33
28/05/2025;02:30:00;0;4,1377;27,02
28/05/2025;03:00:00;0;4,2181;26,97
28/05/2025;03:30:00;0;4,2916;26,72
28/05/2025;04:00:00;0;4,3597;26,62
28/05/2025;04:30:00;0;4,3836;27,24
28/05/2025;05:00:00;0;4,3942;27,38
28/05/2025;05:30:00;0;4,3880;27,22
28/05/2025;06:00:00;0;4,3441;27,19
28/05/2025;06:30:00;0;4,2644;27,12
28/05/2025;07:00:00;0;4,1756;27,17
28/05/2025;07:30:00;0;4,0855;26,87
28/05/2025;08:00:00;0;3,9772;27,13
28/05/2025;08:30:00;0;3,8731;27,05
28/05/2025;09:00:00;0;3,7662;26,85
28/05/2025;09:30:00;0;3,6621;26,63
28/05/2025;10:00:00;0;3,6044;26,79
28/05/2025;10:30:00;0;3,5473;26,11
28/05/2025;11:00:00;0;3,4938;25,97
